,3,4
0,1.0,0
1,1.0,0
2,1.0,0
3,0.95,0
5,0.95,0
6,1.0,0
7,1.0,0
14,1.0,0
31,1.0,0
22,1.0,0
63,0.9,0
41,1.0,0
58,0.6,0
16,0.9,1
4,1.0,1
13,1.0,1
24,1.0,1
30,1.0,1
19,0.95,1
61,0.0,1
33,1.0,1
21,1.0,1
15,0.75,1
23,1.0,1
100,0.15,1
89,0.95,1
26,1.0,2
25,1.0,2
8,0.6,2
9,1.0,2
18,0.6,2
12,1.0,2
48,1.0,2
47,1.0,2
49,0.15,2
52,0.0,2
40,1.0,2
45,1.0,2
46,1.0,2
42,0.9,2
121,0.35,2
97,0.45,2
103,0.0,2
111,0.95,2
82,0.4,2
124,0.0,2
10,1.0,2
11,1.0,2
115,0.0,2
125,0.0,2
112,0.0,2
130,0.05,2
134,0.3,2
93,0.55,3
77,0.55,3
91,0.4,3
59,0.9,3
50,1.0,3
51,0.85,3
28,1.0,3
17,0.65,3
37,1.0,3
92,0.1,3
85,0.0,3
107,0.15,3
101,0.15,3
44,0.9,3
35,0.7,3
102,0.0,4
27,1.0,4
76,1.0,4
64,0.8,4
60,0.95,4
53,0.85,4
57,1.0,4
43,1.0,4
38,0.9,4
131,0.6,4
32,0.7,5
34,1.0,5
84,0.75,5
71,0.7,5
81,0.0,5
122,1.0,5
117,0.75,5
83,0.55,5
39,1.0,5
62,0.55,5
129,0.2,5
36,1.0,5
144,0.0,5
110,0.95,6
106,0.95,6
108,0.9,6
54,0.9,6
55,0.75,6
116,0.15,6
65,0.0,6
90,0.45,6
109,1.0,6
98,0.5,6
80,1.0,6
75,1.0,7
126,0.85,7
79,0.65,7
72,0.85,7
133,0.4,8
146,0.05,8
73,0.1,8
70,0.95,8
105,0.95,8
104,0.45,9
66,1.0,9
96,1.0,10
88,0.0,10
127,0.8,10
99,0.95,10
78,0.75,10
86,1.0,10
87,0.85,10
114,0.0,11
153,0.3,12
119,1.0,12
118,1.0,12
56,0.05,13
95,0.3,13
128,0.75,13
68,0.4,15
74,0.85,15
94,0.25,15
123,0.0,16
120,0.25,16
135,0.9,18
141,0.8,18
137,0.95,18
149,0.15,19
132,0.0,19
20,0.4,20
136,0.4,20
69,0.3,20
113,0.95,21
142,0.25,22
145,0.1,22
138,0.0,24
148,0.05,26
147,0.35,26
139,0.5,26
67,0.3,30
150,0.1,36
151,0.7,47
155,0.0,54
154,0.0,61
140,0.0,87
152,0.0,180
29,1.0,255
143,0.05,2306
